epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc,epoch_time_sec,elapsed_time_sec
1,1.78370318007999,0.3677111111111111,1.2664654640197754,0.5232,0.5232,13.999324965,13.999432318000004
2,1.1485547030131023,0.5933333333333334,0.9819333975791931,0.6498,0.6498,14.18488664100002,28.316217720000026
3,0.9038135027249654,0.6884444444444444,1.0532041156768799,0.653,0.653,15.134824013999975,43.57515752400002
4,0.7706327334721883,0.7388,0.7114057991981506,0.7646,0.7646,14.272793851000017,57.97397804300002
5,0.681337540769577,0.7723111111111111,0.6241100358486176,0.7874,0.7874,14.477965134999977,72.58421839900001
6,0.6094642099592421,0.7955555555555556,0.5390243848800659,0.8172,0.8172,14.349048747000012,87.05334904600002
7,0.553424872493744,0.8148222222222222,0.6304018781661987,0.7956,0.8172,14.42899312199998,101.61657846700001
8,0.5058872886869642,0.8321111111111111,0.5012090161323547,0.8308,0.8308,14.492459327000006,116.179919429
9,0.4732758134841919,0.8423111111111111,0.45738025541305544,0.8466,0.8466,14.289758628000016,130.59405176300004
10,0.43052757518556384,0.857,0.4372981402397156,0.8474,0.8474,14.178084172000013,144.90951991100002
11,0.40331576120058693,0.8662222222222222,0.5362268491268158,0.8254,0.8474,13.808147372999997,158.86144552000002
12,0.37360538709428576,0.8755555555555555,0.4993766484260559,0.8458,0.8474,14.23123526500001,173.17192177000004
13,0.35206623249053953,0.884,0.4013885476350784,0.8688,0.8688,14.229501737999954,187.48834199600003
14,0.3230007542080349,0.8922,0.3954175586223602,0.8762,0.8762,14.17805784799998,201.80362371400003
15,0.3073296684053209,0.8973333333333333,0.37068204107284547,0.8848,0.8848,14.131221300999982,216.074516551
16,0.28576944930818343,0.9046222222222222,0.33003073534965516,0.8936,0.8936,14.306069847000003,230.51705411
17,0.26603998857604133,0.9120222222222222,0.399286417388916,0.8744,0.8936,14.14245448600002,244.79046047000003
18,0.2475391872406006,0.9169333333333334,0.33696802480220794,0.8884,0.8936,14.446993716999998,259.311435577
19,0.22719050489531623,0.9232888888888889,0.3694746085524559,0.8824,0.8936,14.304906501000005,273.690880223
20,0.21599773586591084,0.9271333333333334,0.36102693967819216,0.8914,0.8936,14.498946907999994,288.274030101
